,alias,lat,long
100,"['Jewelry', 'Watch Repair', 'Jewelry Repair']",34.0450864438963,-118.432828083571
101,['Art Galleries'],34.0107151,-118.30446
102,['Water Stores'],33.75219916140583,-118.30737884960504
103,['Laundry Services'],34.2570855517838,-118.5038204908
104,"['Auto Repair', 'Tires']",34.194298,-118.450177
105,['Heating & Air Conditioning/HVAC'],33.8588849,-118.047805
106,"['Breakfast & Brunch', 'Coffee & Tea', 'Wine Bars']",34.05752595588238,-118.28580191031348
107,['Gymnastics'],34.1549199,-118.6535389
108,"['Auto Repair', 'Tires']",34.27154,-118.53645
109,"['Hobby Shops', 'Party & Event Planning']",34.25685,-118.59184
110,"['Electricians', 'Lighting Fixtures & Equipment']",33.7575746,-118.1083652
111,"['Roofing', 'Building Supplies']",33.989800272229,-118.29635694623
112,['Dry Cleaning'],33.782125,-118.2978618
113,['Wholesale Stores'],34.2007,-118.37285
114,['Recycling Center'],33.9968000470101,-118.264810144901
115,"['Pawn Shops', 'Jewelry', 'Watches']",34.2340741,-118.4393175
116,"['Cosmetic Dentists', 'General Dentistry', 'Teeth Whitening']",34.045079,-118.441795
117,"['Breakfast & Brunch', 'Hawaiian', 'Salad']",34.04706465604824,-118.2389878
118,['Car Wash'],34.00397,-118.27223
119,['Veterinarians'],34.1589699,-118.39615
120,"['General Dentistry', 'Cosmetic Dentists']",34.150114,-118.444937
121,"['Naturopathic/Holistic', 'Nutritionists']",34.00227,-118.46918
122,"['Medical Centers', 'Doctors']",34.019977,-118.15348
123,"['Auto Repair', 'Used Car Dealers', 'Body Shops']",34.2511,-118.38804
124,[],34.2466354370117,-118.535667419434
125,"['Leather Goods', 'Home Decor', 'Accessories']",34.08033757528314,-118.25536239753669
126,['Tours'],34.0553599999881,-118.38376427423
127,"['Thai', 'Noodles', 'Soup']",34.24946435454307,-118.60626404662705
128,['Oil Change Stations'],33.985107421875,-118.309257507324
129,"['Optometrists', 'Eyewear & Opticians']",34.09047,-118.3166580392318
130,['Awnings'],34.2036541,-118.3963405
131,"['Steakhouses', 'Seafood', 'Cocktail Bars']",33.998085,-118.474558
132,"[""Women's Clothing"", 'Used, Vintage & Consignment', 'Thrift Stores']",34.152237,-118.447315
133,"['Cosmetic Dentists', 'General Dentistry', 'Periodontists']",34.272105,-118.471024
134,[],33.7949523925781,-118.291458129883
135,"[""Men's Clothing"", ""Women's Clothing"", 'Lingerie']",34.189503,-118.603615
136,"['Hearing Aid Providers', 'Audiologist']",33.9587821960449,-118.39412689209
137,['Nail Salons'],34.263937,-118.523025
138,['Notaries'],34.1395270357462,-118.214219090457
139,"['Thrift Stores', 'Used, Vintage & Consignment']",34.083843,-118.350868
140,"['Tires', 'Auto Repair', 'Oil Change Stations']",34.264729,-118.528001
141,['General Contractors'],34.0165,-118.43908
142,['Apartments'],34.190541357900074,-118.59395310244446
143,"['Furniture Stores', 'Interior Design', 'Furniture Reupholstery']",34.040487,-118.231531
144,['Language Schools'],34.050514,-118.4378443
145,['Indian'],34.08366,-118.34327
146,['Italian'],34.1728474,-118.5615157
147,"['Gyms', 'Child Care & Day Care']",34.0693,-118.30825
148,['Fences & Gates'],34.25745,-118.27917
149,['Body Shops'],34.18563,-118.36057
150,[],34.2614,-118.42788
151,"['Threading Services', 'Henna Artists']",34.0216602675622,-118.204159368723
152,['Eyelash Service'],34.06642028299184,-118.30896064639091
153,"['Body Shops', 'Auto Repair']",34.0501289,-118.3618393
154,['Funeral Services & Cemeteries'],34.1695609,-118.3792263
155,[],34.0218948572874,-118.261057063937
156,['Community Service/Non-Profit'],34.05209,-118.24955
157,['Funeral Services & Cemeteries'],34.0402071893576,-118.29806331898
158,"['Office Cleaning', 'Home Cleaning']",34.01132,-117.90412
159,"['Desserts', 'Arcades', 'American (Traditional)']",34.044658,-118.251815
160,"['Medical Spas', 'Skin Care']",34.1565846369571,-118.487306423485
161,['Tires'],34.00725243939395,-118.2870142820136
162,"['Home Decor', 'Kitchen & Bath']",34.21535,-118.44756
163,"['Skin Care', 'Massage']",34.258916,-118.502951
164,"[""Women's Clothing"", 'Accessories', 'Shoe Stores']",34.0631713867188,-118.298561096191
165,"['Eyebrow Services', 'Waxing', 'Permanent Makeup']",34.185571429183064,-118.60464393169158
166,['Antiques'],34.0359502,-118.3888824
167,['Honduran'],34.030385,-118.292114
168,"['Web Design', 'Marketing', 'Graphic Design']",34.0483,-118.25617
169,['Public Services & Government'],33.72202,-118.253142
170,"['Electricians', 'Lighting Fixtures & Equipment']",34.1861421,-118.4100349
171,"['Employment Agencies', 'Career Counseling']",34.153714,-118.463595
172,"['Thai', 'Asian Fusion', 'Noodles']",34.08102022464935,-118.2704053993879
173,"['Lounges', 'Cocktail Bars']",34.061344,-118.306173
174,"['Vape Shops', 'Water Stores', 'Head Shops']",34.17994,-118.370629
175,['Car Wash'],34.0463499,-118.34492
176,"['Salad', 'Soup', 'Mongolian']",34.06165,-118.2871
177,['Shoe Repair'],34.09721,-118.33886
178,"['Assisted Living Facilities', 'Memory Care', 'Personal Care Services']",34.190822,-118.407884
179,['Child Care & Day Care'],34.25449,-118.58246
180,"['Bakeries', 'Desserts']",34.247799,-118.286387
181,"['Fast Food', 'Sandwiches']",33.99239,-118.25682
182,['Gas Stations'],34.2359085,-118.4744568
183,['Auto Repair'],33.859184,-118.083015
184,"['Organic Stores', 'Desserts', 'Burgers']",34.058781,-118.419053
185,['Video/Film Production'],34.1326571,-118.344398
186,"['Plumbing', 'Water Heater Installation/Repair', 'Hydro-jetting']",34.0039,-118.32549
187,['Insurance'],33.7897008,-118.297725
188,['Churches'],33.97551,-118.37451
189,"['Mexican', 'Food Trucks']",34.09075,-118.32121
190,"['Bakeries', 'Armenian', 'Pizza']",34.18934,-118.38737
191,['Auto Repair'],34.200965,-118.411572
192,['Karate'],34.1389721124752,-118.211076259927
193,['Tobacco Shops'],34.073553905430686,-118.1639464
194,['Plumbing'],33.9601402282715,-118.288970947266
195,"['Plumbing', 'Water Heater Installation/Repair', 'Heating & Air Conditioning/HVAC']",34.10362450910741,-117.8790414086151
196,"['Hair Stylists', 'Skin Care']",34.2016777938136,-118.516847427331
197,"['Midwives', 'Lactation Services', 'Nurse Practitioner']",33.96185,-118.45048
198,['Rugs'],34.04088,-118.37719
199,['Counseling & Mental Health'],34.04086,-118.47201
200,"['Day Spas', 'Cosmetics & Beauty Supply', 'Skin Care']",33.9902839660645,-118.465484619141
201,['Religious Items'],34.110752,-118.189629
202,"['Breakfast & Brunch', 'American (Traditional)']",33.9464198603729,-118.407198244804
203,"['Electronics Repair', 'Appliances & Repair']",34.045573907325654,-118.43348993802968
204,['Apartments'],34.157817,-118.408355
205,"['Massage', 'Massage Therapy', 'Reflexology']",34.168234,-118.609545
206,['Jewelry'],34.0463893,-118.254214
207,"['Property Management', 'Real Estate Services', 'Commercial Real Estate']",34.17165,-118.54226
208,['Talent Agencies'],33.9940651,-118.4409494
209,['Mobile Phone Repair'],34.1647,-118.36931
210,['Pilates'],34.2652206,-118.5227585
211,"['Mobile Phones', 'Mobile Phone Accessories']",34.208166,-118.509578
212,"['Mobile Phones', 'Mobile Phone Accessories', 'Internet Service Providers']",34.20135,-118.57123
213,"['Mobile Phones', 'Mobile Phone Accessories']",34.0557955,-118.2701512
214,"[""Women's Clothing"", 'Gift Shops', 'Swimwear']",34.14282356495262,-118.3935166
215,"['Chiropractors', 'Acupuncture', 'Weight Loss Centers']",34.15959,-118.50355
216,"['Sewing & Alterations', 'Wholesale Stores']",34.0314107,-118.2633509
217,['Roofing'],33.800759,-118.3165108
218,['Retirement Homes'],34.167715,-118.5311025
219,['Cannabis Dispensaries'],34.16982,-118.60621
220,"['Auto Customization', 'Auto Upholstery']",34.0216151,-118.4024981
221,['Car Stereo Installation'],33.990442,-118.256646
222,"['Cheesesteaks', 'Salad', 'Burgers']",33.960302,-118.31099
223,"['Pool Cleaners', 'Pool & Hot Tub Service', 'Swimming Pools']",34.21502,-118.55433
224,"['Body Shops', 'Auto Detailing']",34.19453196503809,-118.5963233
225,['Car Dealers'],34.048351,-118.329063
226,['Car Wash'],34.07134,-118.35687
227,['Used Car Dealers'],34.09917,-118.23367
228,['Body Shops'],34.03269,-118.34627
229,['Car Auctions'],33.8612485679727,-118.287804722786
230,['Auto Parts & Supplies'],33.9748611450195,-118.300621032715
231,['Auto Parts & Supplies'],34.0406949,-118.1734499
232,['Auto Parts & Supplies'],34.60158833,-118.12204817
233,['Masonry/Concrete'],34.5772,-118.10674
234,['Electricians'],34.2452,-118.40781
235,"['Florists', 'Party Supplies', 'Floral Designers']",33.788353656807786,-118.26332827031302
236,"['Optometrists', 'Laser Eye Surgery/Lasik', 'Eyewear & Opticians']",34.275234000896674,-118.5731890797615
237,['Auto Repair'],34.2002412,-118.493291
238,"['Plumbing', 'Hydro-jetting']",34.002625,-118.43090833
239,['Sewing & Alterations'],34.17197,-118.56939
240,['Car Rental'],34.0540522,-118.3234301
241,['Body Shops'],34.211523,-118.466847
242,['Jewelry'],34.046199,-118.2546512
243,[],34.174713,-118.361869
244,['Auto Repair'],34.248225,-118.284847
245,"[""Men's Clothing"", 'Formal Wear', 'Accessories']",34.22944,-118.55535
246,"['Screen Printing/T-Shirt Printing', 'Customized Merchandise', 'Signmaking']",34.1979647,-118.6013435
247,"['Screen Printing/T-Shirt Printing', 'Printing Services']",34.20133,-118.60795
248,"['Seafood', 'Mexican']",34.038311,-118.2542496
249,"[""Men's Clothing"", ""Women's Clothing"", 'Screen Printing/T-Shirt Printing']",33.7386855,-118.2843231
250,['Sporting Goods'],34.04989,-118.308589
251,"['Caterers', 'Party & Event Planning', 'Wedding Planning']",34.179479,-118.5427475
252,"['Seafood', 'Mexican', 'Cocktail Bars']",34.110589,-118.191187
253,"['Mexican', 'Tex-Mex', 'Fast Food']",34.0734847,-118.3763016
254,"['Mexican', 'Tex-Mex', 'Fast Food']",34.2368564,-118.5362149
255,"['Seafood', 'Mexican', 'Venues & Event Spaces']",34.06105,-118.293254
256,['Local Services'],34.0562326565878,-118.276005078375
257,['Hair Stylists'],34.0759097,-118.3469823
258,['Body Shops'],34.2126072,-118.5011433
259,['Tobacco Shops'],34.208954,-118.500629
260,['General Contractors'],34.1058100619387,-117.837989889085
261,"['Vietnamese', 'Soup', 'Chinese']",34.20177,-118.5885949
262,"['Dance Clubs', 'Bars']",34.101874,-118.334282
263,['Beauty & Spas'],34.25681,-118.59144
264,['Heating & Air Conditioning/HVAC'],34.179565,-118.453773
265,"['Cocktail Bars', 'Lounges', 'Wine Bars']",34.075508,-118.255245
266,"['Barbers', 'Nail Technicians']",34.09052246589874,-118.3185586
267,"['Beer, Wine & Spirits']",34.10409426522994,-118.27295873067828
268,['Delis'],34.14384,-118.34073
269,['Food Court'],33.946277285908415,-118.40416460228964
270,['Social Clubs'],34.045315,-118.451904
271,"['Tattoo', 'Piercing']",34.0837072,-118.346971
272,['Nail Salons'],34.0344643,-118.2321482
273,['Batting Cages'],34.04253,-118.36395
274,"['Ice Cream & Frozen Yogurt', 'Desserts', 'Custom Cakes']",34.10979,-118.191641
275,"['Chiropractors', 'Acupuncture']",34.0762057,-118.3751245
276,"['Cosmetics & Beauty Supply', 'Candle Stores', 'Perfume']",34.2767134,-118.564608
277,"['Grocery', 'Beer, Wine & Spirits']",33.97934326758993,-118.46607056975816
278,"['Home Theatre Installation', 'Security Systems']",34.217131,-118.4726622
279,['Apartments'],34.053457,-118.263385
280,"['Hair Stylists', 'Makeup Artists', 'Hair Extensions']",34.2008076126946,-118.424430166934
281,"['Dry Cleaning', 'Sewing & Alterations']",34.1200221498167,-118.321184867672
282,['Metal Fabricators'],33.7880355,-118.2225814
283,"['Desserts', 'Coffee & Tea', 'Bakeries']",34.062983,-118.309523
284,['Boxing'],34.3088130021423,-118.472430892289
285,"[""Women's Clothing"", 'Jewelry']",34.039255,-118.254011
286,"['Skin Care', 'Cosmetics & Beauty Supply']",33.76403192909243,-118.30997750001954
287,"['Makeup Artists', 'Waxing', 'Hair Stylists']",34.194318,-118.430254
288,"['Burgers', 'Barbeque', 'Soul Food']",33.9412,-118.26552
289,['Sandwiches'],33.9448806,-118.4077256
290,"['Middle Eastern', 'Sandwiches', 'Mediterranean']",34.062762,-118.4481571
291,['Hair Salons'],34.1500814,-118.3794622
292,"['Ice Cream & Frozen Yogurt', 'Custom Cakes', 'Caterers']",34.2393558,-118.5557573
293,['Fingerprinting'],33.998575,-118.3092202
294,['Tires'],34.200694,-118.600432
295,['Breweries'],34.06395,-118.21561
296,"['Mexican', 'Breakfast & Brunch']",34.020608,-118.404542
297,['General Contractors'],34.19066,-118.85674
298,"['Japanese', 'Asian Fusion', 'Sushi Bars']",34.06273,-118.30946
299,"['Sports Bars', 'Breakfast & Brunch', 'Venues & Event Spaces']",34.183335,-118.491941
300,['Car Dealers'],33.9480925,-118.2828521
301,['Smog Check Stations'],33.85887,-118.29763
302,"['Appliances', 'Computers', 'Electronics']",34.1277208072098,-118.265316296015
303,"['Auto Insurance', 'Life Insurance', 'Home & Rental Insurance']",34.047393,-118.3455181
304,"['General Contractors', 'Local Services']",33.85741,-118.28757
305,"['Donuts', 'Juice Bars & Smoothies', 'Bagels']",33.7905654907227,-118.269035339355
306,"['Skin Care', 'Day Spas']",34.1658351,-118.595192
307,"['Mobile Phone Repair', 'Mobile Phones']",34.0481339,-118.2448883
308,['Furniture Reupholstery'],33.8200351595879,-118.308854028583
309,['Hotels'],34.19282194694499,-118.57185378168651
310,['Hotels'],34.171312,-118.466553
311,['Hotels'],34.14316124355601,-118.2282860578198
312,['Nail Salons'],34.055895280609725,-118.4424070319294
313,"['Retirement Homes', 'Assisted Living Facilities']",34.071853,-118.383129
314,['Hotels'],34.0596699,-118.38277
315,"['Weight Loss Centers', 'Cosmetic Surgeons', 'Pain Management']",34.1598085,-118.448184
316,['Sewing & Alterations'],34.160701,-118.510244
317,['Speech Therapists'],34.1717263,-118.5635004
318,['Counseling & Mental Health'],34.02687,-118.15569
319,['Sporting Goods'],34.115907793328,-118.18294107914
320,['Barbeque'],34.05754,-118.29389
321,"['Auto Repair', 'Oil Change Stations', 'Tires']",34.199469,-118.6059214
322,"['Burgers', 'Pizza']",33.98758,-118.47405
323,"['Pizza', 'Salad', 'Sandwiches']",34.2210111739778,-118.53635430336
324,"['Barbeque', 'Cajun/Creole']",33.92411,-118.28238
325,"['Bakeries', 'Cupcakes', 'Desserts']",34.0491913069051,-118.257576334763
326,['Fitness & Instruction'],34.22219,-118.46714
327,['Naturopathic/Holistic'],34.0391246,-118.4661772
328,['Drugstores'],34.073398,-118.381332
329,['Pet Stores'],34.08863,-118.21475
330,"['Personal Injury Law', 'Legal Services']",34.0427899,-118.46969
331,['Food Trucks'],33.97477,-118.246586
332,['Nail Salons'],34.05704,-118.44317
333,"['Party Supplies', 'Party Equipment Rentals', 'Party & Event Planning']",34.03381,-118.13309
334,"['Payroll Services', 'Accountants', 'Tax Services']",34.2036739665255,-118.544707583841
335,['Body Shops'],34.233483,-118.371784
336,"['Salad', 'Wraps', 'Sandwiches']",34.1688807,-118.40486063607528
337,"['Music Venues', 'Bars', 'American (Traditional)']",34.0549899,-118.38338
338,['Tattoo'],34.04740667,-118.32434667
339,"['Grocery', 'Delis', 'Caterers']",34.2012181,-118.4085037
340,"['American (New)', 'Cocktail Bars']",34.047100137133995,-118.24724033311816
341,['Auto Repair'],34.04167,-118.27839
342,"['Southern', 'Breakfast & Brunch', 'Hookah Bars']",34.18689100285688,-118.38686153375588
343,['Wheel & Rim Repair'],34.234828,-118.598773
344,['Hawaiian'],34.23816,-118.55554
345,"[""Women's Clothing"", 'Jewelry']",34.08334,-118.35179
346,['Threading Services'],34.08872,-118.17107
347,['Solar Installation'],33.961240973416665,-118.16746695323812
348,['Nail Salons'],34.2274,-118.45128
349,"['General Dentistry', 'Periodontists', 'Orthodontists']",34.057306,-118.375901
350,['Beauty & Spas'],34.05663,-118.28254
351,"['Signmaking', 'Screen Printing/T-Shirt Printing', 'Graphic Design']",34.23549,-118.48525
352,"['Accessories', ""Women's Clothing""]",34.1563085,-118.6426367
353,"['Hair Salons', 'Hair Removal', 'Skin Care']",34.1677677,-118.6178797
354,"['Hair Salons', 'Makeup Artists', 'Eyelash Service']",34.15699,-118.60614
355,['Registration Services'],34.18594580000001,-118.4507182
356,"['General Contractors', 'Roofing', 'Windows Installation']",33.9703258,-118.0649359
357,"['Car Dealers', 'Auto Parts & Supplies', 'Auto Repair']",34.16537,-118.44967
358,['Massage Therapy'],34.2015273275285,-118.501442670822
359,"['Bubble Tea', 'Juice Bars & Smoothies']",34.20307,-118.60573
360,"['Pet Stores', 'Pet Groomers']",34.0525522,-118.2861671
361,['Mexican'],34.0242,-118.19358
362,['Gyms'],34.03887,-118.23602
363,['Indian'],34.101250861830806,-118.33788256436006
364,"[""Women's Clothing""]",34.02056,-118.40803
365,"['Breakfast & Brunch', 'Coffee & Tea']",34.08336,-118.28662
366,"['Cosmetics & Beauty Supply', 'Skin Care']",34.049376,-118.240739
367,['Caterers'],34.28143,-118.48625
368,['Korean'],34.0657222,-118.3083861
369,['Bookstores'],33.943177,-118.410668
370,"['Beer, Wine & Spirits']",34.158335,-118.405449
371,['Travel Services'],34.177914,-118.605468
372,['Florists'],33.99204625689368,-118.29172768671933
373,['Gas Stations'],34.02597,-118.22954
374,"['Jewelry', 'Gemstones & Minerals']",34.04689,-118.25403
375,['Performing Arts'],34.18258,-118.35281
376,"['Sandwiches', 'Cheese Shops']",34.04564,-118.23528
377,['Interior Design'],34.0902955,-118.3739059
378,['Massage'],34.13761,-118.19013
379,"['Framing', 'Art Galleries']",34.0536751,-118.46387
380,"['General Contractors', 'Architects']",34.15285,-118.34267
381,['Mailbox Centers'],34.0539575,-118.4655012
382,"['Makeup Artists', 'Hair Salons', 'Threading Services']",34.05407,-118.46431
383,['Motorcycle Repair'],33.9604,-118.26776
384,"['Sports Bars', 'Cafes', 'American (Traditional)']",34.21464,-118.59841
385,"['Elementary Schools', 'Middle Schools & High Schools']",34.0527992248535,-118.217086791992
386,"['Mexican', 'Seafood']",33.7384,-118.28826
387,['Electricians'],34.44062,-118.56863
388,"['Office Cleaning', 'Home Cleaning']",34.031873,-118.364497
389,['Grocery'],34.31408,-118.47399
390,['Glass & Mirrors'],34.0434399,-118.36021
391,['Breweries'],33.7257694,-118.2802782
392,"['Waxing', 'Permanent Makeup', 'Threading Services']",34.20155,-118.408473
393,"['Sandwiches', 'Breakfast & Brunch', 'Salad']",34.2261963475854,-118.535711243749
394,['Body Shops'],34.042837,-118.218146
395,['Bakeries'],34.210945,-118.464766
396,['Appliances & Repair'],34.19821,-118.39258
397,['Donuts'],34.2316246,-118.3669052
398,"['Used, Vintage & Consignment', ""Women's Clothing"", 'Thrift Stores']",34.08354,-118.36216
399,"['Chicken Wings', 'Sports Bars', 'American (Traditional)']",34.155869,-118.466977
400,"['Korean', 'Barbeque', 'Asian Fusion']",34.061564,-118.303271
401,"['Auto Repair', 'Auto Customization']",33.9791732,-118.3093006
402,['Italian'],34.2574549,-118.4704866
403,"['Preschools', 'Behavior Analysts', 'Speech Therapists']",34.2014595,-118.5543778
404,"['Architects', 'Interior Design']",34.0660421,-118.2385807
405,"['Burgers', 'Breakfast & Brunch']",34.040244583145125,-118.2533418
406,"['Burgers', 'Fast Food']",33.9769993,-118.371392057742
407,"['Burgers', 'Sandwiches']",34.017358,-118.278406
408,"['Plumbing', 'Water Heater Installation/Repair', 'Hydro-jetting']",34.249302885524735,-118.6008152
409,"['Permanent Makeup', 'Eyebrow Services']",34.065552,-118.372455
410,['Auto Glass Services'],34.224415,-118.378461
411,"['Delis', 'Imported Food', 'Greek']",34.0473747,-118.2997818
412,"['General Contractors', 'Plumbing', 'Masonry/Concrete']",34.2041694,-118.6121942
413,['Tobacco Shops'],33.73495717,-118.2926795
414,"['Mexican', 'Bars']",34.150131,-118.430892
415,"['Cafes', 'Breakfast & Brunch', 'Juice Bars & Smoothies']",34.04186,-118.4612
416,['Coffee & Tea'],34.038956883380116,-118.2556773
417,"['Desserts', 'Coffee & Tea', 'Breakfast & Brunch']",34.06396,-118.30197
418,['Korean'],34.02242,-118.2917
419,"['Cafes', 'Coffee & Tea']",34.05372,-118.32331
420,['Cafes'],34.0911697,-118.3062059
421,['Coffee & Tea'],34.03204,-118.46771
422,['Cuban'],34.15442,-118.64193
423,"['Coffee & Tea', 'Breakfast & Brunch', 'American (New)']",33.95970172122229,-118.3945062730362
424,"['Adult', 'Lingerie']",34.10118,-118.32983
425,"['Seafood', 'Cajun/Creole', 'Filipino']",34.258150719127606,-118.53547691398408
426,['Art Museums'],34.065185258033225,-118.23783760223482
427,"['Urgent Care', 'Family Practice', 'Walk-in Clinics']",34.15738467,-118.63442517
428,"['Tires', 'Gas Stations']",33.9829,-118.30861
429,"['Solar Installation', 'Lighting Fixtures & Equipment', 'Electricians']",34.22979,-118.551289
430,['Mexican'],34.17296,-118.5523
431,"['Tattoo', 'Piercing']",33.94213483,-118.28283533
432,['Registration Services'],34.16919045370828,-118.6021339
433,"['Animal Physical Therapy', 'Pet Boarding', 'Pet Groomers']",34.0348685475547,-118.444381495701
434,"['Check Cashing/Pay-day Loans', 'Tax Services', 'Payroll Services']",34.1152862,-118.2460582
435,"['General Contractors', 'Windows Installation', 'Stucco Services']",33.914329,-118.1587358
436,"['Florists', 'Floral Designers']",34.039711,-118.2503662
